episode,reward,agent
239,-1,CFR
239,-1,Q-Learning
240,-1,CFR
240,-1,Q-Learning
241,1,CFR
241,1,Q-Learning
242,-1,CFR
242,-1,Q-Learning
243,1,CFR
243,1,Q-Learning
244,-1,CFR
244,-1,Q-Learning
245,2,CFR
245,2,Q-Learning
246,1,CFR
246,-1,Q-Learning
247,-2,CFR
247,-1,Q-Learning
248,1,CFR
248,-2,Q-Learning
249,1,CFR
249,1,Q-Learning
250,1,CFR
250,1,Q-Learning
251,1,CFR
251,2,Q-Learning
252,1,CFR
252,-1,Q-Learning
253,1,CFR
253,-1,Q-Learning
254,1,CFR
254,-1,Q-Learning
255,-1,CFR
255,-1,Q-Learning
256,1,CFR
256,1,Q-Learning
257,-2,CFR
257,-1,Q-Learning
258,-1,CFR
258,-1,Q-Learning
259,1,CFR
259,-1,Q-Learning
260,-2,CFR
260,1,Q-Learning
261,1,CFR
261,1,Q-Learning
262,-2,CFR
262,-2,Q-Learning
263,-1,CFR
263,1,Q-Learning
264,-1,CFR
264,-1,Q-Learning
265,1,CFR
265,-1,Q-Learning
266,-1,CFR
266,-1,Q-Learning
267,2,CFR
267,-1,Q-Learning
268,1,CFR
268,1,Q-Learning
269,1,CFR
269,1,Q-Learning
270,1,CFR
270,1,Q-Learning
271,1,CFR
271,1,Q-Learning
272,-1,CFR
272,-2,Q-Learning
273,1,CFR
273,-1,Q-Learning
274,-2,CFR
274,-1,Q-Learning
275,1,CFR
275,2,Q-Learning
276,1,CFR
276,1,Q-Learning
277,-1,CFR
277,1,Q-Learning
278,-2,CFR
278,1,Q-Learning
279,1,CFR
279,1,Q-Learning
280,-1,CFR
280,-1,Q-Learning
281,-1,CFR
281,1,Q-Learning
282,2,CFR
282,2,Q-Learning
283,-1,CFR
283,1,Q-Learning
284,-1,CFR
284,-1,Q-Learning
285,1,CFR
285,1,Q-Learning
286,2,CFR
286,1,Q-Learning
287,-1,CFR
287,-1,Q-Learning
288,-1,CFR
288,1,Q-Learning
289,1,CFR
289,-1,Q-Learning
290,1,CFR
290,1,Q-Learning
291,1,CFR
291,1,Q-Learning
292,-1,CFR
292,-2,Q-Learning
293,2,CFR
293,1,Q-Learning
294,1,CFR
294,-1,Q-Learning
295,-2,CFR
